"scenario","seed","signal","noise","missingness","method","subspace_angle_deg","inverse_count_correlation","contrast_error","interval_covered","null_reject","null_p","high_count_influence","empty_cell_fraction"
2,73108,"null","heteroscedastic","response","covariance_analytic",NA,0.134301709202653,NA,1,0,0.462,0.068091113679349,0.160185185185185
2,73108,"null","heteroscedastic","response","split_half",NA,0.235207690626727,NA,1,0,0.462,0.288127915650907,0.160185185185185
2,73109,"null","heteroscedastic","response","legacy",NA,0.427390776513322,NA,0,0,0.543,0.067189670351435,0.156481481481481
2,73109,"null","heteroscedastic","response","count",NA,0.444845845109916,NA,0,0,0.543,0.100084907051667,0.156481481481481
2,73109,"null","heteroscedastic","response","explicit_precision",NA,0.448380682660913,NA,0,0,0.543,0.100883360210711,0.156481481481481
2,73109,"null","heteroscedastic","response","random_effects",NA,0.444845845109916,NA,0,0,0.543,0.100084907051667,0.156481481481481
2,73109,"null","heteroscedastic","response","iid_analytic",NA,0.532840408191922,NA,1,0,0.543,0.067189670351435,0.156481481481481
2,73109,"null","heteroscedastic","response","covariance_analytic",NA,0.304036632477284,NA,1,0,0.543,0.067189670351435,0.156481481481481
2,73109,"null","heteroscedastic","response","split_half",NA,0.185805396076476,NA,1,0,0.543,0.269804492148573,0.156481481481481
2,73110,"null","heteroscedastic","response","legacy",NA,0.258378584336104,NA,0,0,0.349,0.0676941563338622,0.156481481481481
2,73110,"null","heteroscedastic","response","count",NA,0.279480656783395,NA,0,0,0.349,0.104093034508216,0.156481481481481
2,73110,"null","heteroscedastic","response","explicit_precision",NA,0.278829515736396,NA,0,0,0.349,0.104085759147491,0.156481481481481
2,73110,"null","heteroscedastic","response","random_effects",NA,0.279480656783395,NA,0,0,0.349,0.104093034508216,0.156481481481481
2,73110,"null","heteroscedastic","response","iid_analytic",NA,0.314307292752186,NA,1,0,0.349,0.0676941563338622,0.156481481481481
2,73110,"null","heteroscedastic","response","covariance_analytic",NA,0.392497415938583,NA,1,0,0.349,0.0676941563338622,0.156481481481481
2,73110,"null","heteroscedastic","response","split_half",NA,0.00320747715122993,NA,1,0,0.349,0.265387285434586,0.156481481481481
2,73111,"null","heteroscedastic","response","legacy",NA,0.30399501164036,NA,0,0,0.19,0.0690999033646092,0.176851851851852
